食物编码,食物名称,食部,水分,能量,蛋白质,脂肪,碳水化合物,不溶性膳食纤维 ,胆固醇,灰分,总维生素A,胡萝卜素,视黄醇,硫胺素,核黄素,烟酸  ,维生素 C,维生素 E,钙,磷,钾,钠,镁,铁,锌,硒,铜,锰,备注,
,,%,g,kcal,g,g,g,g,mg,  g,HgRAE,μg,μg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,μg,mg,mg,,
11101,小麦,100,10,338,11.9,1.3,75.2,10.8,0,1.6,0,0,0,0.4,0.1,4,0,1.82,34,325,289,6.8,4,5.1,2.33,4.05,0.43,3.1,－,
11102,五谷香,100,5.6,378,9.9,2.6,78.9,0.5,0,3,0,0,0,0.11,0.19,,0,2.31,2,13,7,1,,0.5,0.23,1.15,0.08,0.05,河北,
011201x,小麦粉(代表值),100,11.2,359,12.4,1.7,74.1,0.8,0,0.7,0,0,0,0.2,0.06,1.57,0,0.66,28,136,185,14.1,53,1.4,0.69,7.1,0.23,0.37,－,
11202,小麦粉(富强粉，特一粉),100,12.7,351,10.3,1.1,75.2,0.6,0,0.7,0,0,0,0.17,0.06,2,0,0.73,27,114,128,2.7,32,2.7,0.97,6.88,0.26,0.77,－,
11203,小麦粉(特二粉),100,12,352,10.4,1.1,75.9,1.6,0,0.6,0,0,0,0.15,0.11,2,0,1.25,30,120,124,1.5,48,3,0.96,6.01,0.58,0.92,－,
11204,小麦胚粉,100,4.3,403,36.4,10.1,44.5,5.6,0,4.7,－,－,0,3.5,0.79,3.7,0,23.2,85,1168,1523,4.6,198,0.6,23.4,65.2,0.83,17.3,－,
11205,麸皮,100,14.5,282,15.8,4,61.4,31.3,0,4.3,10,120,0,0.3,0.3,12.5,0,4.47,206,682,862,12.2,382,9.9,5.98,7.12,2.03,10.85,甘肃,
11206,小麦粉(标准粉),100,9.9,362,15.7,2.5,70.9,－,0,1,0,0,0,0.46,0.05,1.91,0,0.32,31,167,190,3.1,50,0.6,0.2,7.42,0.06,0.1,－,
11207,小麦粉(富强粉、特一粉),100,10.8,362,12.3,1.5,74.9,－,0,0.5,0,0,0,0.11,0.03,0.94,0,0.32,27,114,128,2.7,32,0.7,0.39,6.79,0.03,0.04,－,
11208,小麦粉(特制),100,10.4,366,13.3,2.2,73.5,0.3,0,0.6,0,0,0,0.09,0.04,1.01,0,-,23,167,356,60.3,105,0,0.94,8.41,-,0.02,天津,
011301x,挂面(代表值),100,11.5,353,11.4,0.9,75.1,0.9,0,1,－,－,0,0.17,0.04,2.09,0,1.11,20,134,129,184.5,49,2.3,0.72,9.21,0.27,0.71,－,
11302,挂面(标准粉),100,12.4,348,10.1,0.7,76,1.6,0,0.8,－,－,0,0.19,0.04,2.5,0,1.11,14,153,157,150,51,3.5,1.22,9.9,0.44,1.28,－,
11304,挂面(精制龙须面),100,11.9,348,11.2,0.5,74.7,0.2,0,1.7,－,－,0,0.18,0.03,2.5,0,－,26,137,109,292.8,48,2.3,0.87,14.28,0.33,0.81,－,
011305x,面条(生，代表值),100,24.2,301,8.9,0.6,65.6,0.8,0,0.8,－,－,0,0.22,0.07,1.8,0,0.47,12,139,123,21.4,42,4.3,1.09,6.59,0.15,0.71,－,
11306,面条(标准粉，切面),100,29.7,283,8.5,1.6,59.5,1.5,0,0.7,－,－,0,0.35,0.1,3.1,0,0.47,13,142,161,3.4,61,2.6,1.07,0.4,0.2,1.35,北京,
11308,面条(特粉，切面),100,27.5,287,7.3,0.1,64.5,0.6,0,0.6,－,－,0,0.17,0.09,0.3,0,0.47,3,181,128,9.7,36,4.7,1.68,15.82,0.16,0.74,青海,
11310,面条(干切面),100,10.5,355,11,0.1,77.7,0.2,0,0.7,－,－,0,0.28,0.05,2.7,0,－,8,142,100,60.9,42,9.6,1.5,7.78,0.22,0.72,广东,
11311,面条(虾蓉面),100,6.1,436,8.5,15.1,68.3,3.6,－,2,－,－,0,－,0.01,2.8,0,1.22,17,92,101,304.2,24,2,-,9.39,0.45,－,－,
11312,通心面[通心粉],100,11.8,351,11.9,0.1,75.8,0.4,0,0.4,－,－,0,0.12,0.03,"
1.00","
0",－,"
14","
  97","
  209","
35.0","
58",2.6,1.55,5.8,0.16,0.67,福州,
11313,挂面(富强粉),100,10.2,363,13,1.5,74.7,－,0,0.6,0,0,0,0.13,0.04,1.26,0,-,21,112,122,110.6,48,1,0.08,3.46,0.04,0.05,－,
11314,龙须面(素),100,10.4,359,10.8,1.8,75.7,－,0,1.3,0,0,0,0.07,0.03,－,0,－,15,86,77,249.8,19,2.2,1.19,2.51,0.14,0.49,上海,
11315,龙须面(鸡蛋),100,10.2,352,14,1.8,71.5,－,－,2.5,42,0,42,0.17,0.05,0.9,0,0.21,12,140,529,711.2,25,1.5,0.83,3.34,0.17,0.47,天津,
11316,面条(富强粉，切面),100,29,277,8.9,0.4,60.7,－,0,1,0,0,0,0.07,0.02,1.1,0,-,24,92,102,11.5,29,0.4,0.12,2.34,0.02,0.04,北京,
11317,面条(富强粉，煮),100,72.7,107,3.9,0.4,22.8,－,0,0.2,0,0,0,0.02,0.01,0.56,0,-,4,24,15,26.9,10,0.2,0.1,1.16,0.01,0.01,－,
11401,花卷,100,45.7,214,6.4,1,45.6,1.5,0,1.3,－,－,0,-,0.02,1.1,0,－,19,72,83,95,12,0.4,-,6.17,0.09,－,武汉,
11402,空锅饼,100,29.4,278,8.6,0.2,60.9,0.7,0,0.9,－,－,0,0.14,-,0,0,0.08,2,133,138,243.2,30,5.8,1.73,24.19,0.13,0.78,青海,
11403,烙饼(标准粉),100,36.4,258,7.5,2.3,52.9,1.9,0,0.9,－,－,0,0.02,0.04,－,0,1.03,20,146,141,149.3,51,2.4,0.94,7.5,0.15,1.15,北京,
011404x,馒头(代表值),100,43.9,223,7,1.1,47,1.3,0,1,－,－,0,0.04,0.05,－,0,0.65,38,107,138,165.1,30,1.8,0.71,8.45,0.1,0.78,－,
11405,馒头(标准粉),100,40.5,236,7.8,1,49.8,1.5,0,0.9,－,－,0,0.05,0.07,－,0,0.86,18,136,129,165.2,39,1.9,1.01,9.7,0.14,1.27,北京,
11407,烧饼(加糖),100,25.9,298,8,2.1,62.7,2.1,0,1.3,－,－,0,-,0.01,1.1,0,0.39,51,105,122,62.5,26,1.6,0.36,12.16,0.15,－,武汉,
11408,油饼,100,24.8,403,7.9,22.9,42.4,2,,2,－,－,0,0.11,0.05,－,"
0","
13.72","
46",124,106,572.5,13,2.3,0.97,10.6,0.27,0.71,"
北京",
11409,油条,100,21.8,388,6.9,17.6,51,0.9,－,2.7,－,－,0,0.01,0.07,0.7,0,3.19,6,77,227,585.2,19,1,0.75,8.6,0.19,0.52,－,
11410,花卷(加牛奶),100,30.8,282,6.5,3.2,58.9,－,－,0.6,0,0,,0.03,0.03,0.61,0,0.85,9,71,211,97,14,0.7,0.36,1.94,0.04,0.19,广东,
11411,馒头(富强粉),100,40.3,235,7.1,1.3,50.9,－,0,0.4,0,0,0,0.12,0.02,0.79,0,-,58,43,146,165,20,0.4,0.21,2.66,0.02,0.03,北京,
11501,水面筋,100,63.5,142,23.5,0.1,12.3,0.9,0,0.6,－,－,0,0.1,0.07,1.1,0,0.65,76,133,69,15,26,4.2,1.76,1,0.19,0.86,－,
11502,油面筋,100,7.1,492,26.9,25.1,40.4,1.3,0,0.5,－,－,0,0.03,0.05,2.2,0,7.18,29,98,45,29.5,40,2.5,2.29,22.8,0.5,1.28,－,
11503,面筋(肉馅),100,49.2,364,16.2,33.2,0.1,－,23,1.4,67,0,67,0.06,0.1,2.7,0,0.92,113,224,167,663.8,18,4.9,1.42,6.18,0.08,0.07,江苏,
012001x,稻米(代表值),100,13.3,346,7.9,0.9,77.2,0.6,0,0.7,0,0,0,0.15,0.04,2,0,0.43,8,112,112,1.8,31,1.1,1.54,2.83,0.25,1.13,－,
12101,粳米(标一),100,13.7,345,7.7,0.6,77.4,0.6,0,0.6,0,0,0,0.16,0.08,1.3,0,1.01,11,121,97,2.4,34,1.1,1.45,2.5,0.19,1.36,－,
12102,粳米(标二),100,13.2,347,8,0.6,77.7,0.4,0,0.5,0,0,0,0.22,0.05,2.6,0,0.53,3,99,78,0.9,20,0.4,0.89,6.4,0.28,0.77,北京,
12103,粳米(标三),100,13.9,346,7.2,0.8,77.6,0.4,0,0.5,0,0,0,0.33,0.03,3.6,0,0.3,5,108,78,1.3,－,0.7,0.93,5.4,0.28,0.89,北京,
12104,粳米(标四),100,13.1,347,7.5,0.7,78.1,0.7,0,0.6,0,0,0,0.14,0.05,5.2,0,0.39,4,123,106,1.6,20,0.7,0.97,4.87,0.26,1.07,北京,
12105,粳米(特等),100,16.2,335,7.3,0.4,75.7,0.4,0,0.4,0,0,0,0.08,0.04,1.1,0,0.76,24,80,58,6.2,25,0.9,1.07,2.49,0.26,1,－,
12106,粳米(极品精米),100,13.9,343,6.4,1.2,78.1,－,0,0.4,0,0,0,0.06,0.02,0.67,0,-,3,69,86,2.7,25,0.2,1.76,4.17,0.23,1.14,吉林,
12107,粳米(西域王米),100,13.3,353,7.5,1.8,77,0.6,0,0.4,0,0,0,0.07,0.04,1,0,-,5,66,119,2,17,0.8,1.02,2.92,0.24,0.43,新疆,
12108,粳米(小站稻米),"
100","
12.9","
346","
6.9","
0.7",79.2,－,0,0.3,0,0,0,0.04,0.02,0.82,0,-,3,82,111,2.2,16,0.3,1.94,10.1,0.35,0.44,天津,
12201,籼米(标一),100,13,348,7.7,0.7,77.9,0.6,0,0.7,0,0,0,0.15,0.06,2.1,0,0.43,7,146,89,2.7,33,1.3,1.46,3.8,0.23,1,  ,
12202,籼米(标准)[机米],100,12.6,349,7.9,0.6,78.3,0.8,0,0.6,0,0,0,0.09,0.04,1.4,0,0.54,12,112,109,1.7,28,1.6,1.47,1.99,0.29,1.27,  ,
12203,籼米(优标),100,12.8,350,8.3,1,77.3,0.5,0,0.6,0,0,0,0.13,0.02,2.6,0,  ,8,85,64,1.2,13,0.5,1.6,6.9,0.3,1.02,广东,
12204,早籼,64,10.2,361,9.9,2.2,76.2,1.4,0,1.5,0,0,0,0.14,0.05,5,0,0.25,13,257,214,1.6,-,5.1,2.73,1.84,0.25,2.73,  ,
12205,早籼(标一),100,12.3,352,8.8,1,77.2,0.4,0,0.7,0,0,0,0.16,0.05,2,0,  ,10,141,124,1.9,57,1.2,1.59,2.05,0.23,1.21,  ,
12206,早籼(标二),100,13.7,346,9.5,1,75.1,0.5,0,0.7,0,0,0,0.2,0.09,3,0,  ,6,192,171,0.8,79,1,1.89,1.82,0.55,1.84,福州,
12207,早籼(特等),100,12.9,347,9.1,0.6,76.7,0.7,0,0.7,0,0,0,0.13,0.03,1.6,0,  ,6,141,108,1.3,42,0.9,1.54,2.07,0.4,1.3,  ,
12208,晚籼(标一),100,13.5,346,7.9,0.7,77.3,0.5,0,0.6,0,0,0,0.17,0.05,1.7,0,0.22,9,140,112,1.5,53,1.2,1.52,2.83,0.16,1.11,  ,
12209,晚籼(标二),100,14.2,344,8.6,0.8,75.7,0.4,0,0.7,0,0,0,0.18,0.06,2.6,0,  ,6,141,146,0.9,60,2.8,1.89,2.26,0.2,1.05,福州,
12210,晚籼(特等),100,14,342,8.1,0.3,76.9,0.2,0,0.7,0,0,0,0.09,0.1,1.5,0,  ,6,104,107,0.8,28,0.7,1.5,1.56,0.23,0.89,福州,
12211,籼稻(红),64,13.4,348,7,2,76.4,2,0,1.2,0,0,0,0.15,0.03,5.1,0,0.19,  ,  ,220,22,  ,5.5,3.29,3.12,0.35,3.2,江西,
12212,黑米,100,14.3,341,9.4,2.5,72.2,3.9,0,1.6,－,－,0,0.33,0.13,7.9,0,0.22,12,356,256,7.1,147,1.6,3.8,3.2,0.15,1.72,  ,
12213,香米,100,12.9,347,12.7,0.9,72.4,0.6,0,1.1,0,0,0,－,0.08,2.6,0,0.7,8,106,49,21.5,12,5.1,0.69,4.6,0.52,1.75,山东,
12214,籼米,100,13.1,340,7.5,1.1,78,－,0,0.3,0,0,0,0.07,0.02,0.94,0,-,12,112,109,1.7,28,0.1,0.15,2.76,0.01,0.02,  ,
12215,香米,100,13.5,342,8.4,0.7,77.2,－,0,0.2,0,0,0,0.03,0.02,0.42,0,-,3,58,112,1.8,7,0.2,1.85,4.09,0.13,0.8,泰国,
12216,糙米,100,13.4,348,7.7,2.7,75,3.4,0,1.2,-,-,0,0.38,0.04,,0,1.32,10,304,230,5.4,123,1.8,1.79,  ,0.24,3.04,河南,
12301,糯米[江米,100,12.6,350,7.3,1,78.3,0.8,0,0.8,0,0,0,0.11,0.04,2.3,0,1.29,26,113,137,1.5,49,1.4,1.54,2.71,0.25,1.54,  ,
12302,优糯米,100,14.2,345,9,1,75.3,0.6,0,0.5,0,0,0,0.1,0.03,1.9,0,0.93,8,48,136,1.2,50,0.8,1.2,2.8,0.25,0.86,广东,
12303,早糯谷,64,11.3,360,7.1,3.2,77,2.8,0,1.4,3,40,0,0.19,0.04,0.7,0,0.13,19,297,  ,4.1,149,3,4.92,1.98,0.53,  ,江西,
12304,紫红糯米[血糯米],100,13.8,346,8.3,1.7,75.1,1.4,0,1.1,－,－,0,0.31,0.12,4.2,0,1.36,13,183,219,4,16,3.9,2.16,2.88,0.29,2.37,上海,
12305,粳糯米,100,13.8,344,7.9,0.8,76.7,0.7,0,0.8,0,0,0,0.2,0.05,1.7,0,0.08,21,94,125,2.8,42,1.9,1.77,3.3,0.24,1.56,  ,
12306,籼糯米,100,12.3,352,7.9,1.1,78,0.5,0,0.7,0,0,0,0.19,0.04,2.3,0,－,14,82,132,1.9,52,1.8,1.52,2.4,0.17,1.31,浙江,
012401x,米饭(蒸，代表值),100,70.9,116,2.6,0.3,25.9,0.3,0,0.3,0,0,0,0.02,0.03,1.9,0,－,7,62,30,2.5,15,1.3,0.92,0.4,0.06,0.58, ,
12402,粳米饭(蒸),100,70.6,118,2.6,0.3,26.2,0.2,0,0.3,0,0,0,-,0.03,2,0,－,7,62,39,3.3,20,2.2,1.36,0.4,0.08,0.85,北京,
12404,粳米粥,100,88.6,46,1.1,0.3,9.9,0.1,0,0.1,0,0,0,-,0.03,0.2,0,－,7,20,13,2.8,7,0.1,0.2,0.2,0.03,0.2,北京,
12405,籼米粉[排米粉],100,10.7,356,7.4,0.1,81.5,0.3,0,0.3,0,0,0,0.02,0.02,0.6,0,－,6,62,14,16.3,16,3.2,0.8,7.48,0.3,0.6,广东,
12406,籼米粉(干，细),100,12.3,346,8,0.1,78.3,0.1,0,1.3,0,0,0,0.03,,0.2,0,－,－,53,43,5.9,23,1.4,2.27,3.44,0.09,0.63,福建,
12407,高蛋白豆米粉(籼米),100,2,414,16.5,7.1,71,－,0,3.4,0,0,0,1.1,0.68,－,0,－,－,－,－,－,－,－,－,－,－,－,西安,
12408,籼米饭(蒸),100,70.1,117,3,0.4,26.4,－,0,0.1,0,0,0,0.01,0.01,1.7,0,-,6,15,21,1.7,10,0.1,0.14,1.13,0.01,0.02,－,
12409,籼米粥,100,85,59,1.3,0.2,13.4,－,0,0.1,0,0,0,-,-,－,0,-,7,20,13,2.8,7,0.1,0.12,0.74,0.01,0.01,－,
12410,米粉,100,12.7,349,0.4,0.8,85.8,－,0,0.3,-,0,0,0.01,0.01,－,0,-,11,45,19,52.2,6,2.4,0.36,0.45,0,0.08,广东,
12411,河粉,100,11.2,359,7.7,1.5,79.2,－,0,0.4,-,0,0,0.02,0.02,－,0,0.23,51,105,83,8.2,23,1,1.57,4.19,0.24,0.71,广东,
13101,玉米(鲜),46,71.3,112,4,1.2,22.8,2.9,0,0.7,－,－,0,0.16,0.11,1.8,16,0.46,－,117,238,1.1,32,1.1,0.9,1.63,0.09,0.22,－,
13102,玉米(白，干),100,11.7,352,8.8,3.8,74.7,8,0,1,－,,0,0.27,0.07,2.3,0,8.23,10,244,262,2.5,95,2.2,1.85,4.14,0.26,0.51,－,
13103,玉米(黄，干),100,13.2,348,8.7,3.8,73,6.4,0,1.3,8,100,0,0.21,0.13,2.5,0,3.89,14,218,300,3.3,96,2.4,1.7,3.52,0.25,0.48,－,
13104,玉米面(白),100,13.4,352,8,4.5,73.1,6.2,0,1,－,－,0,0.34,0.06,3,0,6.89,12,187,276,0.5,111,1.3,1.22,1.58,0.23,0.4,北京,
13106,玉米面(强化豆粉),100,13.6,352,11.8,4.9,68.3,6.4,0,1.4,－,－,0,0.21,0.04,3.1,0,7.13,18,234,370,1.6,106,3.4,1.28,9.15,0.38,0.74,北京,
13108,玉米粒(黄、干),100,11.8,327,8,0.8,79.2,－,0,0.2,8,100,0,0.03,0.02,0.56,0,0.38,－,－,－,－,－,－,－,1.24,－,－,－,
13109,玉米面(黄),100,11.2,350,8.5,1.5,78.4,－,0,0.4,3,40,0,0.07,0.04,0.8,0,0.98,22,196,249,2.3,84,0.4,0.08,2.68,0.01,0.02,－,
13110,玉米糁(黄),100,12.5,326,－,1.2,78.7,－,0,0.2,－,－,0,0.03,0.03,0.76,0,0.96,49,143,177,1.7,151,0.2,0.05,1.09,0.01,0.01,－,
13201,玉米笋(罐头),100,93,16,1.1,0.2,4.9,4.9,0,1.3,3,40,0,－,－,－,0,－,6,4,36,170.9,－,0.1,0.33,0.8,0.02,0.12,保定,
13202,玉米面面条,100,12.3,350,6.6,0.3,80.5,0.6,0,0.4,－,－,0,－,－,－,0,－,－,－,－,－,－,－,－,－,－,－,北京,
14101,大麦[元麦],100,13.1,327,10.2,1.4,73.3,9.9,0,2,0,0,0,0.43,0.14,3.9,0,1.23,66,381,49,-,158,6.4,4.36,9.8,0.63,1.23,－,
14102,黑大麦,100,10.9,327,10.2,2.2,74.3,15.2,0,2.4,－,－,0,0.54,0.14,5.4,0,－,20,390,241,17,69,6.5,2.33,3.99,1.09,1.17,江苏,
14201,肚里黄,100,11.6,337,8.8,1.2,76.7,8,0,1.7,－,－,0,0.37,0.02,1.6,0,1.28,3,436,223,5.2,80,2.4,2.31,-,13.66,1.08,青海,
14202,青稞,100,12.4,342,8.1,1.5,75,1.8,0,3,0,0,0,0.34,0.11,6.7,0,0.96,113,405,644,77,65,40.7,2.38,4.6,5.13,2.08,青海,
15101,小米,100,11.6,361,9,3.1,75.1,1.6,0,1.2,8,100,0,0.33,0.1,1.5,0,3.63,41,229,284,4.3,107,5.1,1.87,4.74,0.54,0.89,－,
15102,小米面,100,11.8,357,7.2,2.1,77.7,0.7,0,1.2,－,－,0,0.13,0.08,2.5,0,－,40,159,129,6.2,57,6.1,1.18,2.82,0.32,0.55,济南,
15103,小米粥,100,89.3,46,1.4,0.7,8.4,－,0,0.2,－,－,0,0.02,0.07,0.9,0,0.26,10,32,19,4.1,22,1,0.41,0.3,0.07,0.16,北京,
15104,小米(黄),100,9.7,364,8.9,3,77.7,－,0,0.7,－,－,0,0.32,0.06,1.04,0,1.62,8,158,335,0.6,50,1.6,2.81,2.72,0.41,0.38,山西,
15201,大黄米[黍子],100,11.3,356,13.6,2.7,71.1,3.5,0,1.3,－,－,0,0.3,0.09,1.4,0,1.79,30,244,201,1.7,116,5.7,3.05,2.31,0.57,1.5,－,
15202,黄米,100,11.1,351,9.7,1.5,76.9,4.4,0,0.8,－,－,0,0.09,0.13,1.3,0,4.61,－,－,－,3.3,－,－,2.07,－,0.9,0.23,－,
19001,高粱米,100,10.3,360,10.4,3.1,74.7,4.3,0,1.5,0,0,0,0.29,0.1,1.6,0,1.88,22,329,281,6.3,129,6.3,1.64,2.83,0.53,1.22,－,
19002,糜子(带皮),100,9.4,336,10.6,0.6,75.1,6.3,0,4.3,－,－,0,0.45,0.18,1.2,0,3.5,99,205,148,9.6,146,5,2.07,12.01,0.61,1.1,甘肃,
19003,糜子米(炒米),100,7.6,376,8.1,2.6,80.5,1,0,1.2,－,－,0,0.29,0.04,0.7,0,－,12,233,252,10.7,112,14.3,1.89,4.53,0.45,0.63,内蒙古,
19004,苦荞麦粉,100,19.3,316,9.7,2.7,66,5.8,0,2.3,－,－,0,0.32,0.21,1.5,0,1.73,39,244,320,2.3,94,4.4,2.02,5.57,0.89,1.31,－,
19005,荞麦,100,13,337,9.3,2.3,73,6.5,0,2.4,2,20,0,0.28,0.16,2.2,0,4.4,47,297,401,4.7,258,6.2,3.62,2.45,0.56,2.04,－,
19006,荞麦(带皮),98,13.6,319,9.5,1.7,73,13.3,0,2.2,－,  ,0,0.24,0.06,"
1.30","
0",－,"
154","
296","
439","
4.0","
193","
10.1",2.9,1.31,14.05,1.31,"
甘肃",
19008,普米[惹仁米，苡米],100,11.2,361,12.8,3.3,71.1,2,0,1.6,－,－,0,0.22,0.15,2,0,2.08,42,217,238,3.6,88,3.6,1.68,3.07,0.29,1.37,   ,
19009,薏米面,100,10.9,351,11.3,2.4,73.5,4.8,0,1.9,－,－,0,0.07,0.14,2.4,0,4.89,42,134,163,2.3,50,7.4,1.39,3.06,0.26,1.51,山东,
19010, 荞麦面  ,100,14.2,340,11.3,2.8,70.2,－,0,1.5,2,20,0,0.26,0.1,3.47,0,5.31,71,243,304,0.9,151,7,1.94,2.16,0.39,0.59,山西,
19011,莜麦面,100,8.8,391,13.7,8.6,67.7,－,0,1.2,－,－,0,0.2,0.09,0.29,0,0.39,40,259,255,1.8,62,3.8,2.18,2.9,0.41,1.71,山西,
19012,燕麦,100,10.2,338,10.1,0.2,77.4,6,0,2.1,-,  -,0,0.46,0.07,－,,0.91,58,342,356,2.1,116,2.9,1.75,,0.21,3.91,青海,
19013,藜麦(散装),100,13.5,357,14,6,57.8,6.5,0,2.2,-,  -,0,0.04,0.06,"
1.03","
0","
6.4","
25",－,"
362","
1.0","
132",3.4,1.8,1.43,0.2,0.98,"
山西",
19014,藜麦(散装),100,9.8,367,10.4,7.5,58.5,11.3,0,2.8,-,  -,0,0.39,0.05,－,0,7.95,28,480,242,0.6,159,2.8,1.8,1.74,0.23,1.69,河北,
19201,高粱面面条,100,23.4,304,7,0.2,68.7,0.3,－,0.7,－,－,0,－,－,－,0,－,－,－,－,－,－,－,－,－,－,－,北京,
21101,马铃薯[土豆、洋芋],94,78.6,81,2.6,0.2,17.8,1.1,0,0.8,1,6,0,0.1,0.02,1.1,14,0.34,7,46,347,5.9,24,0.4,0.3,0.47,0.09,0.1,,
21102,马铃薯丁(脱水),100,11.4,344,5.7,0.5,80.7,3.3,0,1.7,－,－,0,0.14,－,,20,－,39,87,267,22.6,51,2.4,0.41,2.17,1.31,0.36,兰州,
21105,马铃薯(烤),100,80.8,70,1.8,0.1,16.4,0.4,0,0.9,0,0,0,0.08,0.01,0.8,15,－,2,60,357,6,－,0.7,－,－,－,－,,
21106,马铃薯(蒸),100,80.6,69,3,-,15.3,0.2,0,1.1,0,0,0,0.11,0.04,0.9,30,－,4,67,484,3,－,0.7,－,－,－,－,,
21107,马铃薯(煮),100,81.5,65,3.2,-,14.2,0.2,0,1.1,0,0,0,0.09,0.04,0.8,26,－,4,64,480,2,－,0.6,－,－,－,－,,
21108,马铃薯全粉,100,5.6,362,8.4,0.5,82.7,3.5,0,2.8,10,120,0,0.11,0.25,5.1,25.9,0.28,35,170,980,71,100,0.8,12.5,1.4,0.35,0.33,,
21201,甘薯(白心)[红皮山芋],86,72.6,106,1.4,0.2,25.2,1,0,0.6,18,220,0,0.07,0.04,0.6,24,0.43,24,46,174,58.2,17,0.8,0.22,0.63,0.16,0.21,,
21203,甘薯片[白薯干],100,12.1,344,4.7,0.8,80.5,2,0,1.9,13,150,0,0.15,0.11,1.1,9,0.38,112,115,353,26.4,102,3.7,0.35,2.64,0.5,1.14,,
21204,甘薯粉[地瓜粉],100,14.5,336,2.7,0.2,80.9,0.1,0,1.7,2,20,0,0.03,0.05,0.2,-,－,33,12,66,26.4,102,10,0.29,2.62,0.05,0.33,福建,
21205,甘薯(红心)[山芋、红薯],90,83.4,61,0.7,0.2,15.3,－,0,0.4,63,750,0,0.05,0.01,0.2,4,0.28,18,26,88,70.9,17,0.2,0.16,0.22,0.05,0.08,,
21301,木薯,99,69,119,2.1,0.3,27.8,1.6,0,0.8,－,－,0,0.21,0.09,1.2,35,－,88,50,764,8,66,2.5,－,－,－,－,,
22101,蚕豆淀粉,100,14.1,342,0.5,-,85.3,0.5,0,0.1,－,－,0,0.04,-,－,－,－,36,29,10,18.2,8,2.3,0.05,0.54,0.04,0.07,甘肃,
22102,豌豆淀粉,100,13.6,342,0.6,-,85,0.3,0,0.8,－,－,0,0.01,-,0.1,－,－,4,10,93,3.4,4,1.7,0.22,-,0.03,0.29,青海,
22103,玉米淀粉,100,13.5,346,1.2,0.1,85,0.1,0,0.2,－,－,0,0.03,0.04,1.1,－,－,18,25,8,6.3,6,4,0.09,0.7,0.07,0.05,,
22104,团粉[芡粉],100,12.6,348,1.5,-,85.8,0.8,0,0.1,－,－,0,0.01,-,0.2,－,－,34,25,16,13.3,14,3.6,0.18,0.37,0.06,0.08,,
22105,藕粉,100,6.4,373,0.2,-,93,0.1,0,0.4,－,－,0,-,0.01,0.4,－,－,8,9,35,10.8,2,17.9,0.15,2.1,0.22,0.28,杭州,
22106,桂花藕粉,100,13.6,344,0.4,0.1,85.3,-,0,0.6,－,－,0,-,0.01,0.2,－,－,36,13,14,6.5,5,20.8,0.23,0.39,0.05,0.34,上海,
22107,魔芋精粉[鬼芋粉，南星粉],100,12.2,186,4.6,0.1,78.8,74.4,0,4.3,－,－,0,-,0.1,0.4,－,－,45,272,299,49.9,66,1.6,2.05,350.15,0.17,0.88,,
22108,淀粉(小麦),100,13.1,351,0.2,0.5,86,0,0,0.2,0,0,0,0,0,0,0,－,14,33,8,3,5,0.6,0.1,－,0.02,－,,
22109,淀粉(大米),100,9.7,366,0.2,0.7,89.3,0,0,0.1,0,0,0,0,0,0,0,－,29,20,2,11,8,1.5,0.1,－,0.06,－,,
22110,淀粉(马铃薯),100,17.4,332,0.1,0.1,82,0,0,0.4,0,0,0,0,0,0,0,－,22,40,32,50,－,1.8,－,－,－,－,,
22111,淀粉(甘薯),100,15.1,342,0.1,0.2,84.4,0,0,0.2,0,0,0,0,0,0.1,0,－,62,14,7,3,－,2.6,－,－,－,－,,
22112,煎炸粉,100,11.9,331,12.1,1.4,73.6,0.7,0,1,0,0,0,0.23,0.07,3.2,0,－,11,102,299,18,－,2,－,－,－,－,,
22201,粉丝,100,15,338,0.8,0.2,83.7,1.1,0,0.3,－,－,0,0.03,0.02,0.4,0,－,31,16,18,9.3,11,6.4,0.27,3.39,0.05,0.15,,
22202,豌豆粉丝,100,7.7,368,0.4,-,91.7,0.3,0,0.2,－,－,0,0.02,-,-,0,－,10,9,6,5,4,3.5,0.32,-,0.05,0.09,青海,
22203,粉条,100,14.3,338,0.5,0.1,84.2,0.6,0,0.9,－,－,0,0.01,-,0.1,0,－,35,23,18,9.6,11,5.2,0.83,2.18,0.18,0.16,,
31101,黄豆[大豆],100,10.2,390,35,16,34.2,15.5,0,4.6,18,220,0,0.41,0.2,2.1,－,18.9,191,465,1503,2.2,199,8.2,3.34,6.16,1.35,2.26,,
31102,黑豆(干)[黑大豆],100,9.9,401,36,15.9,33.6,10.2,0,4.6,3,30,0,0.2,0.33,2,－,17.36,224,500,1377,3,243,7,4.18,6.79,1.56,2.83,,
31103,青豆(干)[青大豆],100,9.5,398,34.5,16,35.4,12.6,0,4.6,66,790,0,0.41,0.18,3,－,10.09,200,395,718,1.8,128,8.4,3.18,5.62,1.38,2.25,,
31104,黄豆,100,9.2,407,33.1,15.9,37.3,9,0,4.5,3,40,0,0.11,0.22,1.53,－,－,123,418,1276,13.8,211,35.8,4.61,2.03,1.17,2.03,,
31201,黄豆粉,100,6.7,432,32.7,18.3,37.6,7,0,4.7,32,380,0,0.31,0.22,2.5,－,33.69,207,395,1890,3.6,129,8.1,3.89,2.47,1.39,2,,
