食物编码,食物名称,食部,水分,能量,蛋白质,脂肪,碳水化合物,不溶性膳食纤维 ,胆固醇,灰分,总维生素A,胡萝卜素,视黄醇,硫胺素,核黄素,烟酸  ,维生素 C,维生素 E,钙,磷,钾,钠,镁,铁,锌,硒,铜,锰,备注,
,,%,g,kcal,g,g,g,g,mg,  g,HgRAE,μg,μg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,μg,mg,mg,,
124101,鲍鱼[杂色鲍],65,77.5,84,12.6,0.8,6.6,0,242,2.5,24,－,24,0.01,0.16,0.2,-,2.2,266,77,136,2011.7,59,22.6,1.75,21.38,0.72,0.4,山东,
124102,鲍鱼(干),100,18.3,322,54.1,5.6,13.7,0,,8.3,28,－,28,0.02,0.13,7.2,-,0.85,143,251,366,23162,352,6.8,1.68,66.6,0.45,0.32,北京,
124103,蛏子,57,88.4,40,7.3,0.3,2.1,0,131,1.9,59,－,59,0.02,0.12,1.2,-,0.59,134,114,140,175.9,35,33.6,2.01,55.14,0.38,1.93,,
124104,蛏干[蛏子缢、蛏青子],100,12.2,340,46.5,4.9,27.4,0,469,9,20,－,20,0.07,0.31,5.1,-,0.41,107,791,586,1175,303,88.8,13.63,121.2,2.05,7.8,福建,
124105,"赤贝
",34,84.9,61,13.9,0.6,0,0,144,1.5,-,－,-,－,0.1,0.2,-,13.22,35,118,153,266.1,45,4.8,11.58,5997,0.4,0.6,山东,
124106,河蚌,43,85.3,54,10.9,0.8,0.7,0,103,2.3,243,－,243,0.01,0.18,0.7,-,1.36,248,305,17,17.4,16,26.6,6.23,20.24,0.11,59.61,,
124107,河蚬[蚬子],35,88.5,47,7,1.4,1.7,0,257,1.4,37,－,37,0.08,0.13,1.4,-,0.38,39,127,25,18.4,10,11.4,1.82,29.79,0.47,0.18,福州,
124108,牡蛎[海蛎子],100,82,73,5.3,2.1,8.2,0,100,2.4,27,－,27,0.01,0.13,1.4,-,0.81,131,115,200,462.1,65,7.1,9.39,"8,664",8.13,0.85,,
124109,生蚝,100,87.1,57,10.9,1.5,0,0,94,0.5,－,－,-,0.04,0.13,1.5,-,0.13,35,100,375,270,10,5,71.2,41.4,11.5,0.3,广东,
124110,泥蚶[血蚶、珠蚶],30,81.8,71,10,0.8,6,0,124,1.4,6,－,6,0.01,0.07,1.1,-,"1,323",59,103,207,354.9,84,11.4,1159,41.42,0.11,1.25,福建,
124111,扇贝(鲜),35,84.2,60,11.1,0.6,2.6,0,140,1.5,-,－,-,-,0.1,0.2,-,11.85,142,132,122,339,39,7.2,11.69,20.22,0.48,0.7,山东,
124112,扇贝(干)[干贝],100,27.4,264,55.6,2.4,5.1,0,348,9.5,11,－,11,-,0.21,2.5,-,1.53,77,504,969,306.4,106,5.6,5.05,76.35,0.1,0.43,,
